year,White,AsianPacificIslander,Black,NativeAmericanAlaskaNative,Unknown
1994,58044,2881,42200,10946,387
1995,108405,5934,48398,12666,729
1996,48676,2666,28208,11430,516
1997,54008,5332,31519,9129,516
1998,43817,2322,24123,1774,774
1999,51901,4816,26531,14559,1247
2000,43176,1462,28463,11032,1075
2001,48616,2666,27750,9430,688
2002,54454,3697,35257,17602,1075
2003,64500,1591,39342,18817,3954
2004,46513,1677,41076,17118,1632
2005,54193,1978,35474,12158,1720
2006,54981,3569,38920,11174,2279
2007,58815,4557,38748,10172,1505
2008,52167,3268,35725,14470,2236
2009,60910,4083,33929,13763,1677
2010,46688,2193,36865,18017,1161
2011,53615,4083,32505,11602,1591
2012,65635,4987,35147,13844,1419
2013,52223,3052,39916,14073,1590
2014,49439,3311,32957,19089,1892
