State,TotalCountOfIncidents,Property,Robbery,Aggravated Assault,Burglary,Motor Vehicles Theft,Violent,Rape,Murder,Larceny,Burglary
Alabama,8323612,3710302,128050,283519,921728,274681,451504,32443,7492,2513893,921728
Alaska,1168980,494686,12743,65202,80216,48394,89804,11072,787,366076,80216
Arizona,12650554,5730119,163241,383787,1154660,838415,595158,39765,8365,3737044,1154660
Arkansas,4961130,2195622,52796,204474,585238,141747,284943,23770,3903,1468637,585238
California,57573456,24434619,1446510,2655951,5365025,4387675,4352109,200973,48675,14681919,5365025
Colorado,7377536,3347277,72472,222760,622685,348255,341491,42704,3555,2376337,622685
Connecticut,4456050,1998547,88281,123499,379966,230681,229478,15194,2504,1387900,379966
Delaware,1474774,626772,30635,70884,130093,53046,110615,8375,721,443633,130093
District of Columbia,1840366,723307,90019,97318,109126,146442,196876,4989,4550,467739,109126
Florida,36117704,15526795,665833,1715362,3653240,1566902,2532057,130837,20025,10306653,3653240
Georgia,17095412,7665547,297845,523416,1741495,803526,882159,48080,12818,5120526,1741495
Hawaii,2580804,1219998,24382,37764,218874,133516,70404,7620,638,867608,218874
Idaho,1699960,778678,4997,55555,158226,44200,71302,10071,679,576252,158226
Illinois,20526670,8666465,537566,955006,1738979,868780,1596870,85538,18760,6058706,1738979
Indiana,9858074,4434818,146850,301055,949275,412326,494219,38602,7712,3073217,949275
Iowa,3844278,1745335,24858,134222,372436,106156,176804,16713,1011,1266743,372436
Kansas,4742286,2144745,42129,158280,444604,153282,226398,23356,2633,1546859,444604
Kentucky,5035742,2275185,74081,137263,576469,173943,242686,27144,4198,1524773,576469
Louisiana,9549344,4130530,154384,446037,977941,370542,644142,31705,12016,2782047,977941
Maine,1478714,707083,6659,17993,152097,28171,32274,7146,476,526815,152097
Maryland,10234376,4321012,292473,462602,842867,575268,796176,30898,10203,2902877,842867
Massachusetts,8271148,3463220,150880,480298,763149,445779,672354,37801,3375,2254292,763149
Michigan,16077356,6907310,278635,728490,1533558,964686,1131368,110115,14128,4409066,1533558
Minnesota,7232136,3321253,89835,158236,599737,264444,294815,44232,2512,2457072,599737
Mississippi,4574638,2083127,63374,113742,608370,163568,204192,21645,5431,1311189,608370
Missouri,10473480,4611333,157636,425367,925772,480145,625407,34129,8275,3205416,925772
Montana,1354636,625849,4535,40276,82338,39282,51469,6109,549,504229,82338
Nebraska,2723552,1242702,23960,82470,200160,108219,119074,11531,1113,934323,200160
Nevada,4179672,1773345,110294,181519,447102,316964,316491,21046,3632,1009279,447102
New Hampshire,1245494,582318,8693,22341,100062,31598,40429,9051,344,450658,100062
New Jersey,10818472,4726905,299884,346456,971788,617970,682331,28329,7662,3137147,971788
New Mexico,4030698,1734762,46938,209033,448557,164197,280587,21534,3082,1122008,448557
New York,23460604,9661137,850500,1123119,1780758,994782,2069165,75264,20282,6885597,1780758
North Carolina,16342536,7333573,249003,529697,2122423,484575,837695,47248,11747,4726575,2122423
North Dakota,640778,301057,1654,13184,47067,22380,19332,4271,223,231610,47067
Ohio,18813424,8560047,358801,384196,2034900,736068,846665,92956,10712,5789079,2034900
Oklahoma,6677566,2957074,68122,276620,757805,268201,381709,32487,4480,1931068,757805
Oregon,6766426,3141914,61254,151201,542130,310853,241299,26911,1933,2288931,542130
Pennsylvania,14979164,6445344,387151,571281,1216896,649125,1044238,71785,14021,4579323,1216896
Rhode Island,1420836,649385,16526,36776,134127,77431,61033,7097,634,437827,134127
South Carolina,9053890,3852132,119183,511723,922711,316485,674813,37393,6514,2612936,922711
South Dakota,760288,345815,2900,23204,65772,17877,34329,7902,323,262166,65772
Tennessee,11748614,5006586,203266,607513,1250120,488123,867721,48115,8827,3268343,1250120
Texas,44598054,19823245,710940,1560268,4396863,1877115,2475782,176079,28495,13549267,4396863
Utah,4282506,2015372,26407,78544,314119,154825,125881,19804,1126,1546428,314119
Vermont,676666,322957,1745,10524,73172,13575,15376,2879,228,236210,73172
Virginia,9350102,4252054,143079,234206,678669,317067,422997,37258,8454,3256318,678669
Washington,12670472,5869275,129569,275143,1193770,705855,465961,57065,4184,3969650,1193770
West Virginia,2009046,899452,16196,79422,222221,65429,105071,7966,1487,611802,222221
Wisconsin,7174130,3293085,101467,163662,570136,267395,293980,25141,3710,2455554,570136
Wyoming,711214,329946,1631,20549,50907,14438,25661,3192,289,264601,50907
