,,Crime Solved,
Agency Type,Crime Type,No,Yes
County Police,Manslaughter by Negligence,7.7,241.2
,Murder or Manslaughter,71.6,45.6
Municipal Police,Manslaughter by Negligence,194.8,79.7
,Murder or Manslaughter,25.5,24.1
Regional Police,Manslaughter by Negligence,,1.1
,Murder or Manslaughter,1.0,1.0
Sheriff,Manslaughter by Negligence,164.0,145.7
,Murder or Manslaughter,40.6,46.2
Special Police,Manslaughter by Negligence,1.0,8.2
,Murder or Manslaughter,5.4,8.6
State Police,Manslaughter by Negligence,1.8,6.7
,Murder or Manslaughter,1.4,4.1
Tribal Police,Manslaughter by Negligence,,120.7
,Murder or Manslaughter,,95.3
