State,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama,413718,412376,411924,422376,400130,385638,404318,385670,400662,403144,403328,394142,401156,409060,422908,397616,372296,386728,381142,365638,349642
Alaska,69182,69506,66168,64220,58662,54014,53282,53790,55490,56526,52662,56338,57530,55234,49196,49996,49592,46822,48898,51836,50036
Arizona,645852,692900,625854,655468,613970,563470,598184,645098,696934,685946,671398,635646,632572,620788,615958,523022,503956,513466,520076,505684,484312
Arkansas,235426,233042,235902,238104,217426,206262,220038,222592,225344,223066,248402,255168,254054,254136,247764,247994,237020,248848,243552,240468,226522
California,3880994,3683968,3320262,3139898,2837348,2522328,2533428,2694112,2769744,2841274,2850528,2781418,2700272,2599370,2531840,2368146,2292144,2257690,2420818,2346072,2201802
Colorado,388880,404398,391362,362082,356394,329626,342608,372758,391872,390926,395054,413894,365340,326094,315342,301888,302250,299488,310586,312566,304128
Connecticut,297892,294962,276828,260572,247942,222472,220182,213582,208466,208052,204156,199624,195210,186034,193028,185378,176886,174752,173988,160860,155184
Delaware,69184,73976,70976,84662,79804,72912,70180,64534,63606,66936,61984,63154,69976,70206,74888,70566,73076,72028,71318,65856,64952
District Of Columbia,126372,134882,129198,104098,92420,83736,83252,88854,91598,83514,68972,68330,71670,74456,77440,73054,73520,74130,77200,78978,84692
Florida,2302242,2181998,2159246,2131218,2054246,1875436,1820308,1826460,1811914,1763952,1701790,1677910,1699758,1756454,1770398,1651102,1542008,1538798,1454150,1398316,1347276
Georgia,848058,864644,927904,867126,834958,801936,777898,779086,771660,818048,833746,838518,816578,838834,870638,804560,783502,785172,751840,741880,738826
Hawaii,157526,170894,155922,142984,127246,114648,125974,131894,150476,138534,127476,128736,115994,115458,99032,101956,97314,99676,92294,92816,93954
Idaho,92384,102378,95418,94990,91306,78858,82456,82784,85094,86808,84690,84452,78192,74548,71004,68542,69502,71942,69938,67106,67568
Illinois,1322300,1290816,1260518,1223178,1170412,1095120,1052948,1027836,1012476,972522,948192,930332,913952,891700,892270,835064,799648,802544,770832,683914,630096
