State,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama,19633,17169,15194,15626,14791,14266,14107,12250,12002,11338,11286,11293,10467,11377,11795,13093,11673,13592,15035,13787,13745
Alaska,3302,3179,3264,3165,3021,2773,2540,2681,2594,2787,3117,3087,3460,3363,3360,3232,3379,3358,3169,3128,3243
Arizona,20161,20909,18776,18997,17442,17279,17841,17889,20176,18722,18921,19448,19284,18658,17282,16366,16574,16515,18087,17490,16970
Arkansas,10118,9435,9032,9131,8906,7971,8887,8969,8081,9131,10023,10747,11227,10524,10082,10830,10913,10326,10095,9781,10265
California,191548,186458,167614,163346,149148,136472,138418,136087,130827,129380,124295,114661,111455,109210,104743,99681,95877,91197,94702,89029,91803
Colorado,12944,11194,9763,9063,9704,8891,9425,9849,10058,9921,11276,12351,12547,11302,11326,11172,10683,10650,10353,9963,10325
Connecticut,7745,7022,7025,6918,6751,6527,6450,6565,5914,6023,4995,4792,4856,4594,5723,5760,5791,5276,5408,4869,4495
Delaware,2829,3173,3056,3520,3707,3489,3520,3269,3298,3693,3140,3612,3640,3881,3880,3585,3386,3207,3228,2904,2867
District Of Columbia,8218,7228,6310,5688,4932,4615,4582,5003,4962,4597,3968,3971,4589,3686,3707,3388,3360,3055,3504,3830,4125
Florida,105679,101302,101122,100926,95447,89226,90008,90331,88476,85106,86199,88341,87044,86366,82852,76112,69523,66319,63929,61054,61404
Georgia,28249,29318,28879,27044,26514,25721,25450,24491,23125,22501,23561,23977,25824,26839,26196,24410,24048,21879,22423,20915,22052
Hawaii,1461,1564,1350,1478,1345,1343,1450,1534,1656,1843,1903,1885,2096,2048,2036,2111,2131,2456,1976,1996,2102
Idaho,2673,3088,2580,2481,2782,2401,2644,2511,2646,2556,2572,2792,2701,2729,2668,2711,2705,2529,2567,2596,2623
Illinois,63849,73163,66649,63842,62261,52020,50731,49347,45114,41506,41502,42158,40858,40573,38818,36588,32042,30564,29618,26283,27520
Indiana,20216,20211,21705,20058,16456,13767,12837,13434,13184,13383,11802,11281,10429,11195,11704,12102,12117,12579,14027,13882,14686
Iowa,6874,7894,5871,6617,6678,6160,6003,6012,6378,6198,6043,6657,6274,6551,6308,6315,6447,6121,6234,6323,6264
Kansas,7149,6920,6900,7287,7384,6887,7231,7449,6951,7374,7205,7707,8506,9212,8518,8277,7780,7508,7595,7181,7259
Kentucky,11802,8571,7347,7308,8097,7757,7363,6009,6692,5703,5410,5833,5972,6859,7036,5843,5212,5097,4750,4198,4404
Louisiana,28060,29484,25823,24360,23237,22526,20851,20910,20445,19429,20090,19681,22098,23233,21191,19855,17932,18386,15740,16319,16387
Maine,987,1007,976,964,1052,897,815,826,735,763,742,815,780,793,808,778,794,848,811,912,890
Maryland,24696,25697,24793,23654,23337,22795,26130,26668,26715,23593,24334,23173,22011,21072,20570,20022,18909,16862,16310,16128,15133
Massachusetts,30550,30626,29420,30969,30443,26307,22594,22110,22018,20378,20002,19878,18800,19008,20202,20836,21724,19638,18638,18106,18051
Michigan,43371,41070,37856,36900,39987,37062,35753,36551,36417,34214,32128,36760,36588,35319,32158,32076,31727,28630,29210,27194,27519
Minnesota,8155,7939,7903,7879,7806,6996,7709,7032,7106,7191,7445,8146,8920,8244,7626,7360,7233,6701,7207,6909,6729
Mississippi,7220,8628,8333,7644,6567,5211,6290,5283,5111,4974,4677,4365,4350,4388,4230,4210,4089,4440,4460,4680,4592
Missouri,24553,22296,20528,20811,20244,18406,18123,20946,21737,19692,19763,21254,22161,20418,20359,20002,19268,18796,19473,18055,18482
Montana,975,972,882,769,1312,1536,2276,2735,2661,2777,2187,2138,1947,2259,2008,1935,2189,2116,2139,1931,2532
Nebraska,4548,4821,5635,5712,5749,5429,3960,3612,3557,3380,3595,3387,3256,3664,3466,3205,3353,2906,2920,2999,3316
Nevada,8292,8395,6998,7132,5710,4994,4942,6364,7629,7520,8348,8730,10178,11037,11099,11360,11420,9957,10790,10060,10564
New Hampshire,597,646,632,643,597,539,1170,1224,1185,1002,1193,971,1044,1027,1246,1249,1322,1558,1545,1492,1459
New Jersey,23414,22830,21307,20650,18663,17601,17099,17370,16593,16452,16144,16079,15650,14622,14152,14122,13885,13608,12919,12071,11225
New Mexico,11336,10098,10332,10790,12714,10827,10230,10644,10334,9542,9811,9370,9241,9570,9443,9338,9412,9082,8740,9382,8797
New York,82100,74351,64857,63628,62023,58860,60090,56961,53583,48987,46911,46150,45387,45094,42170,43676,43867,45568,47423,46130,45303
North Carolina,30391,30615,28159,29292,28667,26680,24715,24573,24169,23369,23591,25128,25605,25744,25877,23304,22554,21721,22609,21513,21421
North Dakota,301,340,301,353,286,216,294,274,270,286,297,460,540,622,761,958,1176,1315,1281,1446,1407
Ohio,27216,28433,24405,25862,20682,16685,17636,17906,16922,16104,16457,16228,15973,16132,16316,16009,15712,15283,15207,14257,14771
Oklahoma,15209,16121,14423,13368,13258,12675,12958,13309,12885,12827,12802,13146,12975,12918,13823,13374,13005,12350,12867,11583,10744
Oregon,10320,10638,9522,9200,8893,8267,7756,6643,6246,6373,6600,6620,6403,6587,5868,6030,5960,6065,6008,5610,5592
Pennsylvania,25071,24927,31401,30358,26827,27890,29580,28814,28060,27027,28339,29205,29554,28151,27984,26139,26080,25148,24818,23719,22189
Rhode Island,2560,2429,2301,2197,2050,1625,1742,1837,1699,1714,1596,1577,1381,1378,1436,1556,1596,1538,1616,1550,1398
South Carolina,28595,27577,28361,28460,26645,25315,25054,25028,25730,25399,25470,24757,25058,26309,24149,22962,20920,20515,19905,17838,17676
South Dakota,1193,1012,850,918,722,770,816,710,861,859,852,847,876,910,1042,931,1619,1410,1914,1996,2096
Tennessee,24943,25783,26295,27335,26220,26707,28172,29938,29439,28471,29613,32470,32227,32787,31627,29940,28060,28466,30961,28378,29681
Texas,81071,80380,80613,77266,73630,74070,74302,77306,78628,75782,75985,75383,74368,73426,76423,74018,71517,67913,67239,65292,65656
Utah,3735,4196,4362,4443,4274,3861,3563,3154,3358,3652,3424,3541,3562,3824,3717,3683,3610,3505,3783,3784,3513
Vermont,325,450,453,461,396,458,425,423,442,504,452,545,580,557,611,575,602,635,652,546,432
Virginia,12294,12901,12318,12558,12712,12567,11631,11945,12068,11554,11496,11718,11628,10996,10319,9764,9529,8654,9092,9062,9400
Washington,16329,15602,14187,14864,14839,13026,13043,12545,12249,12509,12417,12941,12779,12691,12524,12639,12458,12031,12242,11601,11627
West Virginia,2690,2584,2672,2759,3410,5259,4597,3968,3179,3542,3768,3735,3770,3702,3657,3962,4586,4483,4538,4203,4358
Wisconsin,6590,7602,6767,7521,7308,7225,6829,6708,6134,6322,6191,7471,8921,9416,9029,8431,8296,7764,10050,9278,9809
Wyoming,1042,959,947,986,957,893,1074,1026,1108,1080,973,958,1013,991,960,968,856,1011,932,916,899
