State,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alaska,4848,5055,5118,4276,4098,3787,3899,3847,3908,3874,3773,4131,4136,3682,3240,3597,3105,2826,2950,2916,3150
Arizona,60157,59762,55630,60077,56473,49423,51902,54821,59087,58613,56885,56328,57055,57825,56481,53412,50771,54929,52934,48533,43562
Arkansas,26911,24763,23925,25568,23559,21692,21443,22196,23229,25016,30099,30118,32042,32072,33694,34764,32511,34471,31890,30485,24790
California,384257,353895,312212,299240,269012,223814,222293,232273,238428,242274,245903,250521,246464,237025,237835,230137,228857,230090,245767,232058,202670
Colorado,33843,35001,34436,30994,31231,26979,27133,28533,31678,32394,33008,34746,32422,28751,28256,26649,26153,25768,26157,25081,23472
Connecticut,29142,29095,27574,24143,21801,19298,17436,17159,17111,16043,15570,15245,14694,15162,15011,15073,15172,15679,14711,12892,11955
Delaware,6198,6491,5830,6421,6395,5245,5216,5144,5355,6066,5383,5811,6189,6341,6760,6932,7515,7531,7371,6131,5768
District Of Columbia,10037,10185,9828,6963,6361,5067,4745,4949,5170,4671,3946,3577,3835,3926,3788,3696,4231,3850,3519,3316,3466
Florida,237341,215657,219056,213926,203105,181378,172898,176052,177242,170644,166332,164783,170873,181833,188467,181884,169119,170171,153563,138916,120963
Georgia,81406,76324,81968,81320,75720,71429,68488,71799,73932,79001,82992,84463,85117,90690,100629,98362,96723,95657,86789,82258,76428
Hawaii,14029,13832,12781,12741,11169,9421,10665,11162,12722,11409,10827,9792,8709,9097,9379,9178,8663,10008,7979,7533,7778
Idaho,8147,9069,8431,9175,8518,7641,7330,7507,7441,7837,7626,8066,7526,6977,6701,6558,6502,6920,7186,6640,6428
Illinois,118116,108555,108185,103550,97792,86317,81850,79158,81440,78345,75944,77635,77259,75524,78968,77850,75399,77746,71101,58237,50008
Indiana,48921,47676,45782,48182,46552,42463,41108,42758,42605,41582,42168,43756,46168,46919,48645,48910,47115,50551,47612,42909,36893
Iowa,18872,21527,18954,22003,19282,17012,16342,16885,18643,17515,18174,18147,18017,16941,16450,16224,16656,17400,17096,15868,14428
Kansas,28635,27404,25239,24292,24984,21874,21484,20514,19679,21973,19999,19028,19992,20263,19612,19469,19404,18789,18767,17375,15828
Kentucky,28718,28389,26736,26638,27998,25180,25308,26964,26891,26034,25902,26458,27122,27683,28839,29701,30311,32553,29587,26213,23244
Louisiana,55188,53481,56379,53935,51210,47775,46289,46451,45350,44572,45359,39382,44986,44602,43320,46246,45435,46320,42140,41184,38337
Maine,8938,9015,9303,8241,8295,7532,6775,6898,6965,6579,6341,6323,6779,6676,6522,6728,7359,7854,7461,6483,5030
Maryland,52234,53320,50331,47918,47393,43230,39426,41553,39765,38641,36682,35922,37457,37095,38849,37032,36542,35784,33732,31949,28012
Massachusetts,53222,49669,42896,40491,37333,32964,30600,32430,33243,34963,34469,34728,35181,35662,36094,34665,37767,36533,34540,30735,24964
Michigan,91849,86872,85908,80726,82249,76736,69790,72038,70970,68316,64394,70527,76107,75428,74176,75815,73868,71596,65665,56344,44184
Minnesota,36157,36756,35515,35265,32486,27706,26116,25496,28034,27698,28048,29716,30173,29670,26410,25488,24415,25724,25378,22713,20773
Mississippi,34493,30505,30755,32429,31498,29109,26918,29821,29593,29564,27661,26866,27239,27959,26024,29162,30444,30907,28076,24995,24352
Missouri,55577,49649,47919,46900,47455,42476,41685,42977,42721,41997,40472,42822,44647,43446,45788,43787,44043,44822,42466,38865,35258
Montana,6178,5060,4908,5002,4575,3876,3624,3670,3289,3722,3515,3642,2935,3027,3332,3386,3654,3390,3894,4064,3595
Nebraska,10963,10344,10152,9813,10544,10158,10131,9760,10329,10133,9826,9408,9452,9046,8775,8701,8326,8714,8735,8900,7950
Nevada,19735,20235,19558,21975,19873,17613,17526,17711,18951,21958,23142,23481,24820,24840,24156,21994,22226,20214,22120,23047,21927
New Hampshire,5275,4806,5063,4612,3852,3698,4992,4889,4838,4589,4966,4192,4358,4986,4286,4928,5441,5749,5444,4936,4162
New Jersey,72074,69533,63259,60894,54459,46998,43924,46812,43899,43457,41030,38980,39433,37482,40401,37262,38732,43238,42338,35873,31710
New Mexico,21945,24383,23586,25126,24213,21481,21339,19552,19634,18997,19924,20939,20909,18992,21713,22022,21014,21423,21384,21476,18505
New York,164650,146562,129828,118306,104821,93217,87946,80400,76700,75453,70696,68034,68565,64857,65735,62842,64973,65397,64553,56442,50781
North Carolina,104118,101995,98539,100002,99951,98457,97888,101889,99535,100687,101193,104298,107407,108800,111602,107830,102690,106144,99323,90702,79373
North Dakota,2070,2248,1991,2300,2274,2337,2093,2165,2243,1959,1910,2043,2393,2164,2106,2354,1966,2433,2377,2934,2707
