State,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama,119951,120967,123350,127616,120943,119616,127399,119992,123932,124039,123650,120780,121610,124237,126477,117711,115458,111411,111523,108993,104238
Alaska,21824,21891,20557,20780,18611,16654,16838,16695,17739,18051,16159,17249,17490,16998,15246,15291,15535,14859,15565,16599,15445
Arizona,190649,207763,188300,195045,183137,167731,176705,186850,201541,198725,194556,176112,173466,173580,185221,155184,153614,155664,159838,159272,154091
Arkansas,68478,69935,73010,72253,65525,63927,69740,69590,71129,68061,73874,75510,72016,72979,69303,68171,65720,70012,70327,70450,68627
California,929640,902456,830457,784405,724262,660991,651855,697739,715692,731486,728687,692467,666860,652243,650385,615456,600558,596963,635090,621557,592670
Colorado,127600,136184,130576,119801,115871,109228,112843,121360,125193,124496,123271,127602,110837,100598,98950,94861,97592,96546,101021,102443,99464
Connecticut,84721,87401,81328,78821,77472,69299,68498,65762,64735,65568,65451,64416,62680,59723,62113,59632,56507,55218,55674,51876,51005
Delaware,20828,22329,21665,25904,24649,22634,21360,19476,18555,18933,18742,18085,20166,20486,22002,20809,21519,21878,21832,20916,20865
District Of Columbia,29711,32319,31385,26809,24360,21701,21655,22313,21708,18119,14542,14836,15907,17382,19958,19228,19489,21330,23556,24533,26898
Florida,626578,612311,605448,594492,579752,534105,518298,516548,511478,505489,482484,472912,473774,490858,506958,479867,458454,461408,442095,433344,424999
Georgia,256208,264872,288803,262263,255459,247834,240440,238484,234591,247196,249426,249594,235903,239058,248678,228893,225651,230820,223004,225315,228034
Hawaii,55260,59907,54701,48984,43914,40458,43254,44925,49344,44807,41078,42188,37910,38416,31492,33422,31320,31697,31233,31658,31640
Idaho,32597,35560,33872,32784,31385,26824,28545,28285,29060,29559,28583,27606,25516,24482,23650,22741,23462,24534,23101,21879,22227
Illinois,363888,357143,358515,350140,337191,320954,313161,306757,304227,295907,288771,277662,272578,267911,266815,248821,239794,239510,235222,213813,199926
Indiana,160043,163618,160777,158442,152790,138794,144707,147291,146073,145686,148670,151278,153093,149050,146615,137371,137027,140688,136759,130423,124022
Iowa,70507,78645,71893,71301,66016,62316,65118,66244,68411,64400,62258,60723,60556,56328,51907,49329,47883,50025,48720,47686,46477
Kansas,75459,78855,78145,91823,85329,79722,80077,77038,73877,79471,80260,76222,74963,73293,67628,64997,63602,62972,65165,61264,56697
