State,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama,14000,14741,15632,15407,14871,13134,12809,12619,13890,14957,14024,13140,14840,14230,13458,11081,10600,10662,9874,10571,10141
Alaska,3275,3151,2992,2784,2607,2658,2350,2618,2471,2461,2240,2595,2529,2418,1638,1689,1619,1343,1522,1695,1739
Arizona,43467,48830,41034,44201,40391,38247,43204,52203,57668,56997,55306,54905,54849,48389,37218,25986,21508,19829,19158,17438,17587
Arkansas,7726,8082,7855,7938,7187,6664,6932,7320,6813,6007,6491,7286,7463,7010,6511,6103,5544,5812,5724,5678,5601
California,308205,280479,242466,228722,195517,168480,182035,204177,222364,241326,252604,257543,242693,219392,192527,164021,152524,146848,168608,165292,151852
Colorado,14365,14520,15206,16107,16087,14795,16961,20994,23183,22816,24063,26101,20795,16792,13519,12458,11247,11047,12092,12533,12574
Connecticut,20167,17692,16022,14541,12705,11297,13099,12378,11580,11370,11025,10609,10390,9167,8963,7476,6707,6712,6449,6222,6110
Delaware,2945,2970,3148,4253,3186,3043,3151,2779,3057,2944,2147,2349,2816,2316,2541,1907,1929,1530,1436,1332,1267
District Of Columbia,8261,10193,9975,7569,6501,6652,6600,7970,9599,9906,8408,7720,7321,7600,6465,5532,5036,4456,3661,3234,3783
Florida,127186,111320,103769,107195,104250,93191,89181,89917,88516,81563,78325,75303,76437,73656,63509,50259,41462,39621,37330,34912,36111
Georgia,39312,43809,46215,44572,42538,40120,38702,37589,38036,43392,44238,44477,43163,42594,39628,33145,30305,29475,28536,26826,26854
Hawaii,6383,8199,7157,6468,5594,4660,6114,6743,9910,9651,8620,9135,7763,6715,5133,4819,5100,4184,3605,3684,3879
Idaho,2210,2815,2229,2429,2282,1898,2086,2389,2627,2646,2724,2884,2429,2226,1668,1442,1322,1333,1364,1536,1661
Illinois,66218,61874,58077,55423,52932,56668,50267,48733,44812,41633,40355,39373,37641,33887,32572,26676,28796,28769,25690,20933,17451
Indiana,25011,27023,24817,25099,21187,20290,21090,21499,20287,20771,21091,21744,21866,19557,17455,13879,13118,14816,13661,14204,13861
Iowa,5096,6332,5449,6682,5974,5135,5374,5505,5823,5639,5404,5500,5006,4885,4332,3888,3776,3936,4023,4246,4151
Kansas,8383,8299,6388,6438,6801,6048,6496,7985,7212,7832,8435,9338,8703,8564,7395,5954,6009,6677,6778,6641,6906
Kentucky,8558,10003,10142,9694,9752,8869,9274,8944,9321,8253,8772,8796,9243,8675,7667,6080,6209,6673,6668,6032,6318
Louisiana,26219,25984,27480,26374,23661,21695,21270,21687,20186,19655,19714,14389,15640,15180,13743,11717,9893,9123,7881,9160,9891
Maine,1776,1673,1776,1642,1509,1694,1322,1671,1429,1456,1303,1348,1340,1259,1176,1021,990,1078,995,914,799
Maryland,38197,36179,36083,30668,28212,25447,28573,32025,34020,36405,35858,34070,30522,28393,25333,19619,18051,16068,15025,13418,13102
Massachusetts,42348,36716,32178,29452,26403,25628,25876,27828,26588,25511,22053,18920,17961,14992,12737,11735,11453,10786,9232,9122,8260
Michigan,62304,61639,67203,65327,58338,56800,55724,53607,49723,53711,50555,48275,50017,42151,36241,29383,27353,25496,25115,24567,21157
Minnesota,14355,15741,17923,17869,15366,13275,13432,15031,13842,13749,13518,14281,13379,12526,10078,8519,8587,8182,8458,7966,8367
Mississippi,10810,9723,9527,9328,9322,13532,6968,9473,9523,8996,7879,7492,8347,7381,6352,5401,5360,4925,4322,4388,4519
Missouri,27038,25199,23992,26517,24466,22984,24695,28014,27878,29951,25893,25699,25433,23784,20765,17479,16051,15317,16308,16325,16357
Montana,2450,2389,2248,2179,2049,1874,1896,1821,1783,1906,1618,1971,1748,1755,1573,1456,1526,1458,1689,1850,2043
Nebraska,6236,5752,5643,5541,5788,5440,5230,6490,6409,6132,5287,5581,5038,5201,4188,3481,3614,4103,4147,4463,4455
Nevada,11065,11405,11194,13220,13766,13094,13172,14702,17486,20849,22635,26931,26961,22331,15903,12379,10185,9485,10018,9998,10185
New Hampshire,2302,1666,1762,1593,1474,1354,2148,2140,1944,1933,1942,1346,1422,1299,1387,1124,968,974,1023,940,857
New Jersey,52164,50184,46437,41165,35185,35357,34151,37708,35755,34606,30306,27683,24724,21953,20180,15508,15556,17415,16481,13747,11705
New Mexico,8350,8647,9973,12407,10767,8126,7341,7137,7437,7224,7902,7929,9225,8939,8004,6476,5247,5408,5463,5905,6290
New York,128873,102596,89900,79697,68171,58261,54231,48287,47366,45204,41002,35736,32134,28030,25114,21870,20433,19311,17348,15482,15736
North Carolina,21342,22350,24566,24442,24616,25577,25266,24647,24866,26892,26988,28466,30126,27966,26743,20024,18310,17032,16120,14606,13630
