State,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama,501,475,444,426,354,345,329,379,303,299,254,374,382,412,353,323,273,301,342,347,276
Alaska,38,55,45,54,41,52,27,39,33,39,37,32,36,44,28,22,31,29,30,34,41
Arizona,426,439,377,375,376,384,359,400,387,441,414,445,465,468,407,354,409,405,358,357,319
Arkansas,294,259,219,250,201,143,168,148,142,180,176,189,205,191,162,179,138,162,173,159,165
California,3703,3531,2916,2579,2171,2005,2079,2206,2395,2407,2392,2503,2484,2260,2142,1972,1809,1792,1884,1746,1699
Colorado,199,216,180,157,183,185,134,158,179,185,203,173,158,153,157,175,120,149,162,178,151
Connecticut,215,150,158,124,135,107,98,105,84,112,91,105,108,106,123,107,130,128,146,86,86
Delaware,33,25,31,22,21,24,25,23,26,21,17,37,42,37,57,41,48,41,57,39,54
District Of Columbia,399,360,397,301,260,241,239,231,264,249,198,195,169,181,186,144,132,108,88,103,105
Florida,1165,1037,1077,1012,967,859,903,874,911,924,946,883,1129,1201,1168,1017,987,984,1009,972,981
Georgia,703,683,630,563,618,583,651,598,606,657,613,564,600,718,636,566,558,554,581,556,580
Hawaii,50,56,40,47,24,44,35,32,24,22,33,24,21,22,25,22,24,17,29,21,26
Idaho,40,48,43,39,36,25,16,30,36,26,30,35,36,49,23,22,21,36,29,27,32
Illinois,1378,1221,1179,1096,1008,939,898,982,961,895,776,770,780,752,790,773,706,721,744,706,685
Indiana,453,466,420,430,454,391,352,413,362,338,316,356,369,356,327,310,292,312,310,355,330
Iowa,47,51,53,52,54,43,46,50,44,50,46,40,55,37,76,34,39,46,45,43,60
Kansas,170,159,170,150,173,160,169,92,78,125,123,101,127,107,113,119,100,110,84,112,91
Kentucky,244,276,228,228,237,203,193,181,191,181,236,190,168,204,198,178,187,153,195,167,160
Louisiana,856,740,762,682,560,468,560,501,593,584,574,450,528,608,527,530,510,513,495,498,477
Maine,28,25,25,25,26,25,15,19,14,16,18,19,23,21,31,26,24,26,25,24,21
Maryland,579,596,588,502,513,465,430,446,513,525,521,552,546,553,493,438,430,398,369,381,365
Massachusetts,214,217,157,119,124,122,125,143,173,140,169,178,186,184,167,172,210,185,121,137,132
Michigan,927,808,722,759,721,695,669,672,678,612,643,629,713,676,542,627,567,613,689,631,535
Minnesota,147,182,167,129,121,134,151,119,112,127,113,115,125,116,109,74,96,74,99,114,88
Mississippi,409,348,301,358,315,213,255,282,264,267,227,214,223,208,237,190,208,239,220,195,258
Missouri,554,469,433,426,399,359,347,372,331,289,354,402,368,385,455,383,420,366,389,371,403
Montana,28,35,34,42,18,22,20,34,16,30,30,18,17,14,23,28,26,28,27,22,37
Nebraska,51,48,48,50,51,60,63,43,48,56,40,44,50,68,68,40,54,67,53,57,54
Nevada,170,163,220,187,170,165,129,180,181,197,172,206,224,192,163,157,158,141,124,163,170
New Hampshire,16,21,20,16,18,18,22,17,12,17,18,19,13,15,13,10,13,17,15,22,12
New Jersey,396,409,338,337,325,287,289,336,339,406,392,417,427,380,376,319,371,380,388,401,349
New Mexico,177,148,197,134,190,170,135,99,152,116,169,144,132,162,142,175,142,156,116,125,101
New York,2016,1550,1353,1093,924,903,952,960,909,934,889,874,921,801,836,778,866,774,684,648,617
North Carolina,772,677,619,614,612,552,560,505,548,506,532,585,540,585,604,494,476,508,479,469,510
North Dakota,1,6,14,6,7,10,4,7,5,9,9,12,8,12,3,10,10,24,28,16,22
Ohio,662,600,538,523,443,397,418,452,526,526,517,590,539,516,543,519,476,513,495,455,464
Oklahoma,226,400,223,229,204,231,182,185,163,206,186,187,207,222,212,228,195,208,216,195,175
Oregon,150,129,129,95,126,88,70,84,72,68,90,80,86,73,82,85,91,82,92,80,81
Pennsylvania,712,755,686,705,633,592,602,651,624,647,650,756,736,723,701,661,657,637,685,594,614
Rhode Island,41,33,25,25,24,36,45,39,41,25,26,34,28,19,29,31,29,14,34,31,25
South Carolina,353,292,332,314,306,258,291,330,298,303,288,314,359,352,305,287,280,320,324,297,311
South Dakota,10,13,9,10,10,18,7,7,11,10,18,18,9,17,26,21,23,21,25,20,20
Tennessee,482,557,503,511,460,391,410,423,420,396,351,431,409,397,408,461,357,373,388,328,371
Texas,2022,1693,1477,1327,1346,1217,1238,1332,1302,1422,1364,1407,1384,1420,1374,1328,1249,1126,1144,1139,1184
Utah,56,76,63,50,65,44,43,67,47,60,46,56,46,58,39,37,53,54,50,49,67
Vermont,6,13,11,9,13,17,9,7,13,15,16,8,12,12,17,7,7,8,8,10,10
Virginia,571,503,500,488,422,392,401,364,388,416,391,458,399,406,368,347,369,303,314,316,338
Washington,294,275,255,241,224,171,196,179,184,182,190,205,190,173,192,179,152,162,206,160,174
West Virginia,99,89,69,75,78,79,46,40,57,73,68,82,75,64,60,84,62,80,72,61,74
Wisconsin,227,219,204,205,190,179,169,192,154,183,154,206,164,183,146,144,155,136,173,162,165
Wyoming,16,10,16,17,23,11,12,9,15,14,11,14,9,16,10,13,8,18,14,17,16
