State,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama,178015,179294,181803,186809,177779,171398,180539,173253,180400,182241,182340,177393,181021,183798,190343,177629,168092,173190,168878,161993,154094
Alaska,29947,30097,28667,27840,25316,23099,23087,23160,24118,24386,22172,23975,24155,23098,20124,20577,20259,19028,20037,21210,20334
Arizona,294273,316355,284964,299323,280001,255401,271811,293874,318296,314335,306747,287345,285370,279794,278920,234582,225893,230422,231930,225243,215240
Arkansas,103115,102780,104790,105759,96271,92283,98115,99106,101171,99084,110464,112914,111521,112061,109508,109038,103775,110295,107941,106613,99018
California,1622102,1536830,1385135,1312367,1188791,1053285,1056183,1134189,1176484,1215086,1227194,1200531,1156017,1108660,1080747,1009614,981939,973901,1049465,1018907,947192
Colorado,175808,185705,180218,166902,163189,151002,156937,170887,180054,179706,180342,188449,164054,146141,140725,133968,134992,133361,139270,140057,135510
Connecticut,134030,134188,124924,117505,111978,99894,99033,95299,93426,92981,92046,90270,87764,84052,86087,82181,78386,77609,76834,70990,69070
Delaware,29971,31790,30643,36578,34230,30922,29727,27399,26967,27943,26272,26245,29171,29143,31303,29648,30963,30939,30639,28379,27900
District Of Columbia,48009,52697,51188,41341,37222,33420,33000,35232,36477,32696,26896,26133,27063,28908,30211,28456,28756,29636,30736,31083,34147
Florida,991105,939288,928273,915613,887107,808674,780377,782517,777236,757696,727141,712998,721084,746347,758934,712010,669035,671200,632988,607172,582073
Georgia,376926,385005,416986,388155,373717,359383,347630,347872,346559,369589,376656,378534,364183,372342,388935,360400,352679,355952,338329,334399,331316
Hawaii,75672,81938,74639,68193,60677,54539,60033,62830,71976,65867,60525,61115,54382,54228,46004,47419,45083,45889,42817,42875,43297
Idaho,42954,47444,44532,44388,42185,36363,37961,38181,39128,40042,38933,38556,35471,33685,32019,30741,31286,32787,31651,30055,30316
Illinois,548222,527572,524777,509113,487915,463939,445278,434648,430479,415885,405070,394670,387478,377322,378355,353347,343989,346025,332013,292983,267385
Indiana,233975,238317,231376,231723,220529,201547,206905,211548,208965,208039,211929,216778,221127,215526,212715,200160,197260,206055,198032,187536,174776
Iowa,94475,106504,96296,99986,91272,84463,86834,88634,92877,87554,85836,84370,83579,78154,72689,69441,68315,71361,69839,67800,65056
Kansas,112477,114558,109772,122553,117114,107644,108057,105537,100768,109276,108694,104588,103658,102120,94635,90420,89015,88438,90710,85280,79431
Kentucky,110725,115298,110531,109819,109721,104768,107723,107356,108590,103370,105209,105608,107023,106813,110314,108401,110709,118358,111826,103857,99166
Louisiana,245488,246132,257130,243423,232378,219219,211904,207693,198838,193698,199153,166611,171239,174991,168630,170456,165357,168744,162936,165686,160824
Maine,38971,39132,40636,37396,36261,34618,32003,33154,32985,32078,31740,31889,33286,31992,32285,31685,32934,33809,33361,30447,26421
Maryland,259039,267625,260231,244842,234624,215973,213422,219512,217105,209418,202326,198483,195476,192796,198165,182422,173051,166699,162031,157913,149859
Massachusetts,225532,221971,194636,185437,173011,167437,161901,167079,167753,164543,157825,151727,153913,154246,155959,151914,153905,148790,143089,137285,125267
Michigan,444325,429223,430020,422916,398773,369887,353297,352353,335060,330565,309208,312892,324351,308775,293585,282918,268201,257979,250101,230334,202547
Minnesota,181856,190911,192109,191006,176541,158717,157798,165046,164026,157663,155019,158301,159119,157829,148810,139083,136431,136264,138152,131195,125377
