State,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama,1487,1350,1397,1396,1443,1513,1482,1369,1664,1656,1742,1564,1649,1545,1617,1504,1349,1371,1296,2044,2005
Alaska,418,485,398,403,421,517,497,501,511,605,558,538,509,529,441,512,533,420,583,922,771
Arizona,1465,1418,1381,1492,1451,1383,1577,1518,1608,1856,1896,2006,1941,1856,1673,2110,2165,2264,2277,3050,3378
Arkansas,1028,925,1046,1098,893,710,848,892,754,911,1166,1202,1308,1268,1395,1368,1312,1213,1247,1423,1763
California,10984,10554,10244,10189,9782,9363,9785,9960,10198,9994,9615,9392,9212,9013,8903,8713,8331,7663,7837,9714,11527
Colorado,1579,1480,1765,1677,1883,1679,1774,1930,2066,1913,1956,2026,2076,1998,2098,2242,2198,2278,2113,2934,3039
Connecticut,806,776,755,740,728,654,678,639,740,698,724,712,636,658,674,651,583,686,919,955,782
Delaware,546,575,454,428,499,529,424,420,358,370,345,377,400,336,366,338,312,289,243,380,386
District Of Columbia,249,292,260,218,190,248,251,181,262,274,222,166,185,192,186,150,187,173,236,395,472
Florida,7301,6887,7508,7599,7404,6990,7057,6641,6753,6727,6612,6592,6475,6151,5972,5501,5373,5274,5260,6760,8104
Georgia,2448,2539,2357,2328,2322,2319,1968,2180,2108,2234,2387,2143,2173,2178,2195,2301,2093,2053,2124,2582,3048
Hawaii,359,336,326,371,352,354,346,409,372,367,333,343,355,326,365,392,365,434,285,385,445
Idaho,316,330,313,350,386,417,384,425,497,535,570,577,587,578,551,552,525,435,479,655,609
Illinois,3913,4313,4548,4415,4095,4297,3926,4010,4370,4189,4216,4313,4078,4103,4118,3901,3033,3708,3570,4263,4159
Indiana,2046,1930,1992,1928,1952,1607,1759,1716,1843,1720,1803,1856,1835,1742,1720,1640,1761,1757,1667,2142,2186
Iowa,666,619,561,579,728,780,676,649,797,796,790,847,828,904,888,853,836,834,871,1083,1128
Kansas,1055,938,1096,1179,1128,1065,1022,945,1035,1085,1104,1098,1238,1231,1190,1096,1107,1085,1053,1195,1411
Kentucky,1350,1231,1230,1304,1107,1148,1091,1051,1087,1124,1238,1421,1297,1381,1408,1509,1381,1463,1272,1611,1440
Louisiana,1923,1855,1805,1799,1609,1448,1497,1403,1529,1601,1616,1421,1562,1393,1232,1359,1233,1268,1158,1619,1375
Maine,318,265,260,254,225,239,320,326,377,354,315,326,339,391,375,376,389,393,372,447,485
Maryland,2035,2130,1905,1814,1714,1551,1543,1449,1370,1358,1316,1266,1178,1179,1127,1156,1227,1194,1235,1532,1619
Massachusetts,1825,1759,1767,1647,1687,1663,1696,1856,1777,1848,1799,1751,1742,1634,1736,1701,1745,1628,1642,2718,2180
Michigan,6720,5917,5466,5070,4946,4849,5025,5264,5364,5470,5486,5199,5269,4579,4502,4514,4673,4347,4589,6593,6273
Minnesota,2725,2593,2327,2446,2358,2038,2240,2236,2273,2092,2123,2258,1947,1873,1805,1789,1798,1664,1638,2008,2001
Mississippi,1212,1054,981,1065,1026,1156,1019,1147,1127,1079,1161,1147,1000,1040,890,939,927,865,822,930,1058
Missouri,1955,1711,1566,1525,1463,1439,1351,1383,1465,1400,1479,1625,1764,1714,1615,1607,1432,1458,1511,2287,2379
Montana,233,231,238,171,235,293,308,188,237,246,273,301,269,290,294,294,321,357,379,410,541
Nebraska,500,317,447,406,417,414,436,431,464,504,620,581,548,527,583,595,672,695,711,801,862
