State,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama,28844,26894,24159,24379,22286,21421,21620,19582,19931,19331,19324,19678,19557,20732,21111,21179,18056,20174,21693,20826,20727
Alaska,4644,4656,4417,4270,4015,3908,3554,3735,3627,3877,4159,4194,4610,4519,4474,4421,4537,4383,4412,4708,4684
Arizona,28653,30095,27963,28411,26984,26334,27281,28675,30171,28638,28952,30478,30916,30600,29059,26929,26085,26311,28108,27599,26916
Arkansas,14598,13741,13161,13293,12442,10848,11904,12190,11501,12449,13737,14670,15506,15007,14374,14959,14735,14129,13835,13621,14243
California,318395,305154,274996,257582,229883,207879,210531,212867,208388,205551,198070,190178,194119,191025,185173,174459,164133,154944,160944,154129,153709
Colorado,18632,16494,15463,14139,15008,13811,14367,15492,15882,15757,17185,18498,18616,16906,16946,16976,16133,16383,16023,16226,16554
Connecticut,14916,13293,13490,12781,11993,11342,11058,11492,10807,11045,10032,9542,9841,8965,10427,10508,10057,9767,10160,9440,8522
Delaware,4621,5198,4845,5753,5672,5534,5363,4868,4836,5525,4720,5332,5817,5960,6141,5635,5575,5075,5020,4549,4576
District Of Columbia,15177,14744,13411,10708,8988,8448,8626,9195,9322,9061,7590,8032,8772,8320,8509,8071,8004,7429,7864,8406,8199
Florida,160016,151711,151350,149996,140016,129044,129777,130713,128721,124280,123754,125957,128795,131880,126265,113541,101969,98199,94087,91986,91065
Georgia,47103,47317,46966,45408,43762,41585,41319,41671,39271,39435,40217,40725,44106,47075,46384,41880,39072,36634,37591,36541,38097
Hawaii,3091,3509,3322,3299,2946,2785,2954,3117,3262,3400,3213,3253,3615,3501,3512,3559,3574,3949,3330,3533,3680
Idaho,3238,3745,3177,3107,3468,3066,3267,3211,3419,3362,3412,3670,3625,3589,3483,3530,3465,3184,3318,3498,3468
Illinois,112928,117836,105482,102476,97291,83621,81196,79270,75759,70376,69026,70496,69498,68528,67780,64185,55835,55247,53403,48974,47663
Indiana,30205,30451,31366,30179,25423,22261,21230,22734,22001,21842,20294,20302,19876,21165,21283,21404,20389,21626,22602,23487,24099
Iowa,8914,10071,7771,8841,8916,8034,7796,7865,8388,8175,8003,8697,8455,8805,8520,8397,8333,7826,8112,8388,8497
Kansas,11314,10792,10642,11151,10972,10159,10470,10909,10229,10831,10245,10701,11748,12566,11505,11278,10531,10162,10232,9838,10123
Kentucky,16991,14079,12448,12386,12909,12212,11903,10510,11101,10232,10152,11134,11063,12513,12646,11159,10528,10406,9752,9222,9340
Louisiana,42369,43741,40426,37248,34057,32033,30440,30678,29690,28622,28844,26889,29917,31317,28944,27849,24886,25406,22868,23984,23934
Maine,1611,1631,1553,1500,1566,1404,1397,1435,1396,1422,1364,1483,1526,1554,1547,1579,1621,1636,1631,1718,1700
Maryland,47457,49757,47230,43127,40903,38447,41663,42088,42015,38778,38932,39369,38110,36062,35393,33623,31620,28797,28055,28089,26661
Massachusetts,42749,41739,39122,39411,38192,34023,30230,30585,31137,30377,29437,29644,28775,27832,29174,30136,30553,28219,26953,27667,26399
Michigan,72751,65680,60951,57663,60947,56709,55159,55424,54306,51550,49577,55936,56778,53988,50166,49547,48460,43983,44922,44523,42348
Minnesota,16397,16416,15782,15827,14656,13085,13813,13145,13428,13316,13751,15243,16425,15003,13717,12842,12515,11825,12419,12705,12505
Mississippi,13177,13560,13261,12808,11302,9671,10267,10006,9858,9336,8568,8131,8691,8502,8373,8304,8003,8036,7786,8214,8338
Missouri,39240,35339,31669,31192,30222,27353,27419,30472,30557,28067,28226,30477,31880,29682,29819,29444,27252,26889,27155,26197,26856
Montana,1516,1491,1415,1161,1797,2090,2807,3187,3197,3351,2723,2634,2397,2754,2497,2473,2693,2670,2736,2567,3313
Nebraska,6322,6253,7182,7265,7507,7167,5606,5214,5428,5105,5393,5052,4983,5367,5416,5059,5104,4665,4814,4897,5275
Nevada,14597,14461,13005,13395,11244,10311,10474,12359,13856,13813,14379,14654,18508,19257,18837,18559,17841,15309,16763,16824,18045
New Hampshire,1328,1314,1373,1328,1270,1159,2167,2144,2056,1937,2170,1761,1824,1807,2069,2114,2198,2478,2481,2849,2602
New Jersey,48544,47652,42459,39673,35720,33540,32298,33094,32252,31488,30943,30919,30671,28601,28351,27121,27055,27203,25727,25674,23346
New Mexico,14708,13804,14399,14762,16700,14520,13786,14288,13719,12535,13081,12448,12572,13085,12896,12440,12126,11817,11660,12782,12459
New York,175433,152683,132206,124890,115915,107147,105111,98022,95030,89486,84914,85839,83966,79915,77585,75176,75977,77490,79610,77372,75398
North Carolina,46308,46508,43068,45071,43723,41474,40051,40465,39118,38243,38244,40650,42124,42262,43099,37929,34653,33774,34464,33700,32767
North Dakota,522,556,541,559,570,424,523,505,496,508,504,706,813,911,1068,1298,1513,1689,1712,1954,1960
Ohio,53930,53799,47896,48706,40628,35616,37935,40023,40128,38185,39163,40162,40209,39360,39997,38332,36366,35484,34595,33121,33030
Oklahoma,21225,21770,19710,18560,18053,17066,17177,17726,17587,17758,17635,18044,17803,18072,19184,18474,17987,17243,17902,16989,15744
Oregon,16067,16408,14837,14412,13778,12432,12000,10650,10298,10506,10724,10444,10373,10777,9747,9744,9655,9586,9653,9984,9224
Pennsylvania,51425,51586,57905,53140,50470,50431,51584,50432,49578,49210,50998,52761,54665,51782,51036,47965,46514,45240,44503,42849,40164
